A Star algorithm: start_node - <GameState.GameState object at 0x000000BC08591F28>, graph - 
DEBUG: wot...? 0
DEBUG: <FibonacciHeap.BinaryTreeNode object at 0x000000BC085A0CC0>
         11486 function calls (11406 primitive calls) in 0.101 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
     25/4    0.000    0.000    0.038    0.009 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       16    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
     16/4    0.001    0.000    0.042    0.011 <frozen importlib._bootstrap>:663(_load_unlocked)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       17    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap>:882(_find_spec)
     19/4    0.000    0.000    0.046    0.011 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     19/4    0.000    0.000    0.046    0.012 <frozen importlib._bootstrap>:978(_find_and_load)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        1    0.000    0.000    0.009    0.009 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.001    0.001    0.007    0.007 <frozen importlib._bootstrap_external>:105(_write_atomic)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       12    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:1240(_get_spec)
       12    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:1272(find_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       31    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:381(_calc_mode)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:46(_w_long)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:536(_code_to_timestamp_pyc)
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
     10/4    0.000    0.000    0.041    0.010 <frozen importlib._bootstrap_external>:722(exec_module)
       54    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:785(source_to_code)
       10    0.000    0.000    0.019    0.002 <frozen importlib._bootstrap_external>:793(get_code)
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       11    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:914(get_data)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap_external>:956(_cache_bytecode)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap_external>:961(set_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.014    0.014 AStar.py:1(<module>)
       44    0.000    0.000    0.000    0.000 AStar.py:122(heuristic)
       44    0.000    0.000    0.000    0.000 AStar.py:140(cost_to_root)
        1    0.000    0.000    0.000    0.000 AStar.py:25(Node)
       44    0.000    0.000    0.000    0.000 AStar.py:27(__init__)
      209    0.000    0.000    0.000    0.000 AStar.py:34(__lt__)
        1    0.000    0.000    0.000    0.000 AStar.py:38(FibonacciHeap_with_HashTable)
        1    0.000    0.000    0.000    0.000 AStar.py:39(__init__)
       44    0.000    0.000    0.001    0.000 AStar.py:43(insert)
       45    0.000    0.000    0.002    0.000 AStar.py:47(extract_min)
       97    0.000    0.000    0.000    0.000 AStar.py:52(__contains__)
        1    0.002    0.002    0.069    0.069 AStar.py:56(a_star)
        1    0.000    0.000    0.000    0.000 BinaryHeap.py:11(<module>)
        1    0.000    0.000    0.000    0.000 BinaryHeap.py:13(BinaryHeap)
        1    0.000    0.000    0.002    0.002 Car.py:1(<module>)
     1628    0.005    0.000    0.005    0.000 Car.py:24(move_ifpossible)
        1    0.000    0.000    0.000    0.000 Car.py:3(Car)
     1432    0.003    0.000    0.003    0.000 Car.py:6(__init__)
        1    0.000    0.000    0.001    0.001 Direction.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Direction.py:4(Direction)
        1    0.000    0.000    0.001    0.001 FibonacciHeap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 FibonacciHeap.py:30(BinaryTreeNode)
       44    0.000    0.000    0.000    0.000 FibonacciHeap.py:31(__init__)
        1    0.000    0.000    0.000    0.000 FibonacciHeap.py:41(FibonacciHeap)
        1    0.000    0.000    0.000    0.000 FibonacciHeap.py:43(__init__)
       44    0.000    0.000    0.000    0.000 FibonacciHeap.py:47(insert)
       45    0.002    0.000    0.002    0.000 FibonacciHeap.py:74(extract_min)
        1    0.000    0.000    0.007    0.007 GameState.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GameState.py:10(<listcomp>)
      181    0.000    0.000    0.001    0.000 GameState.py:13(matrix_to_vector)
       44    0.008    0.000    0.062    0.001 GameState.py:151(createAllPossibleSons)
        1    0.000    0.000    0.000    0.000 GameState.py:21(GameState)
      181    0.000    0.000    0.001    0.000 GameState.py:235(unique_id_str)
      905    0.003    0.000    0.029    0.000 GameState.py:25(__init__)
      904    0.012    0.000    0.026    0.000 GameState.py:29(<listcomp>)
       44    0.007    0.000    0.008    0.000 GameState.py:42(findCarsInBoard)
      904    0.010    0.000    0.015    0.000 GameState.py:87(moveCar_ifpossible)
        1    0.000    0.000    0.000    0.000 GameState.py:9(vector_to_matrix)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:281(getstate)
        1    0.000    0.000    0.002    0.002 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:55(Error)
       10    0.000    0.000    0.000    0.000 cp1255.py:18(encode)
        1    0.000    0.000    0.000    0.000 cp1255.py:22(decode)
        1    0.000    0.000    0.000    0.000 enum.py:124(__prepare__)
        1    0.000    0.000    0.000    0.000 enum.py:134(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:151(<dictcomp>)
        1    0.000    0.000    0.000    0.000 enum.py:176(<setcomp>)
        4    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        8    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
        1    0.000    0.000    0.000    0.000 enum.py:334(__getattr__)
        8    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        9    0.000    0.000    0.000    0.000 enum.py:375(__setattr__)
        2    0.000    0.000    0.000    0.000 enum.py:441(_get_mixins_)
        2    0.000    0.000    0.000    0.000 enum.py:452(_find_data_type)
        1    0.000    0.000    0.000    0.000 enum.py:473(_find_new_)
        1    0.000    0.000    0.000    0.000 enum.py:63(__init__)
        8    0.000    0.000    0.000    0.000 enum.py:69(__setitem__)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.011    0.011 hashlib.py:54(<module>)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.115    0.115 main.py:1(<module>)
        1    0.000    0.000    0.069    0.069 main.py:8(main)
        1    0.000    0.000    0.016    0.016 random.py:38(<module>)
        1    0.000    0.000    0.000    0.000 random.py:669(SystemRandom)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:88(__init__)
